rank,channel_name,category,subscribers,total_views,avg_likes,engagement_rate,hardcord_score,trending_video_count,channel_id
1,shakiraVEVO,Music,18200000,73909384,2282117,3.0877,1656.8332,1,UCGnjeahCJW1AF34HBmQTJ-Q
2,Sun TV,Entertainment,32400000,14319915,391946,2.7371,294.3728,1,UCBnxEdpoZwstJqC1yZpOjRA
3,PlayStation,Gaming,17100000,4629844,310755,6.712,224.769,1,UC-2Y8dQb0S6DtpxNgAKoJKA
4,Anirudh Ravichander - Topic,Music,27200,22938793,497455,2.1686,220.5998,1,UCbRSywya_rl8YS15Lo9ttsA
5,Call of Duty,Gaming,8150000,30962728,213550,0.6897,147.5878,1,UC9YydG57epLqxA9cTzZXSeQ
6,Maddock Films,Entertainment,1900000,22737680,142232,0.6255,89.304,1,UC-LOdiPoxninevJ0DkleCLg
7,Sony Music South,Music,21400000,3557249,91502,2.5723,67.0748,1,UCn4rEMqKtwBQ6-oEwbd4PcA
8,BANGTANTV,Music,84600000,526323,83813,15.9243,66.4417,1,UCLkAepWjdylmXSltofFvsYQ
9,Smokio,Entertainment,579000,2793896,107308,3.8408,61.8382,1,UCIy8KA-a5QM_xF-mmwOrj9g
10,Netflix,Entertainment,33300000,2809052,78642,2.7996,59.158,1,UCWOA1ZGywLbqmigxE4Qlvuw
11,HBO Max,Entertainment,3060000,17900404,85306,0.4766,55.3271,1,UCx-KWLTKlB83hDI6UKECtJQ
12,Warner Bros.,Film & Animation,12800000,12351204,75168,0.6086,53.4235,1,UCjmJDM5pRKbUlVIzDYYWb6g
13,Saregama Tamil,Music,10900000,7192914,59494,0.8271,41.8685,1,UCzee67JnEcuvjErRyWP3GpQ
14,Mythri Movie Makers,Entertainment,5340000,4970185,61736,1.2421,41.5331,1,UCKZSn5C-RzrLjuWJF8wWiDw
15,Think Music India,Music,22500000,2805991,52740,1.8795,38.7754,1,UCLbdVvreihwZRL6kwuEUYsA
16,Apple TV,Entertainment,2380000,2537445,23258,0.9166,14.8306,1,UC1Myj674wRVXB9I4c6Hm5zA
17,Dinuli Damsandi,Music,419000,555428,25473,4.5862,14.3215,1,UCU9IoKqQvxERkoxwB-L9VwQ
18,Mihiran,Music,331000,275395,21408,7.7736,11.8168,1,UC6wvfVVgmnsMUlhfYCv64Gw
19,DilShan L Silva,Entertainment,162000,545959,11226,2.0562,5.8482,1,UC5A7foGvdlddb0b6iHaqUBg
20,Master Brothers FF,Gaming,152000,55818,8995,16.1149,4.6611,1,UCnLDg6H44ShnTB3TWLw_R0A
21,Mokka Commentry,Entertainment,962000,73954,5422,7.3316,3.2441,1,UC3Y7OyuS9jNdZy3ZadrAbWQ
22,Onikmusic,Music,27100,254210,4852,1.9087,2.1509,1,UCAsDrPKdV3g_F6y_SfDLA0Q
23,DLP Gaming,Gaming,97700,37274,3772,10.1197,1.8822,1,UC0-UFP1d6OeVtl2VXYSquIA
24,Allen K S L,Gaming,176000,34969,3404,9.7343,1.7856,1,UCWrJW5qgCKGpYAxyMCp5Hxg
25,B I L L A,Gaming,697000,19109,2720,14.2341,1.5894,1,UC1dfhQyj962rwYPVLi3OHLg
26,ManiYa Streams,Gaming,230000,32049,2792,8.7117,1.497,1,UCo0bp6-iNDJmExq6kp6PYcg
27,Mahee Live,Gaming,9170,18601,3352,18.0205,1.3282,1,UCtxyHDGsi_wHGRY_Gpf9zJw
28,Gaming Highlight,Gaming,76500,17168,2526,14.7134,1.2336,1,UCm-TXzgh9U2K3wjWzY0XX0A
29,MODA SCOOBY,Gaming,19200,56646,2765,4.8812,1.1843,1,UCJEnZpyBJJCWoQZtBU9i7cg
30,ROSHAN FERNANDO,People & Blogs,224000,52118,2097,4.0236,1.1219,1,UCNbhBaSxzjD4Yr7bRVKiWaw
31,Gaming With Kaniya,Gaming,50600,16776,2381,14.1929,1.1201,1,UCAYGhFThlHe-3ugwJaUE0sA
32,Hashano_G,Gaming,167000,19729,2046,10.3705,1.0686,1,UC41IgP1TOQd8LNAmMJW4eRg
33,Senanga Dissanayake,Music,17600,54557,2413,4.4229,1.0244,1,UCQwGtvsdORhNh5l0F5fZf0Q
34,Dhanith Sri,Entertainment,315000,19933,1838,9.2209,1.0106,1,UCyCNFZZpmyZQEgtar98I8tA
